appid,name,median_playtime
58520,Blood Bowl - Legendary Edition,380
58550,A Game of Thrones - Genesis,8
58570,The Next BIG Thing,1
58610,Wargame: European Escalation,11
60600,ProtoGalaxy,33
61100,Lucid,127
61310,Fractal: Make Blooms Not War,45
61500,Age of Wonders,254
61520,Age of Wonders Shadow Magic,151
61600,Zen Bound 2,133
61700,Might & Magic: Clash of Heroes,1595
61730,Critter Crunch,137
62000,Flight Control HD,85
62100,Chime,1382
63000,HOARD,31
63110,Alter Ego,12
63200,Monday Night Combat,101
63500,Swords and Soldiers HD,227
63700,BIT.TRIP BEAT,141
63710,BIT.TRIP RUNNER,202
63800,Delve Deeper,241
63910,King's Bounty: Crossworlds,30
63940,Men of War: Vietnam,10
64000,Men of War: Assault Squad,365
65400,Archon Classic,16
65530,SpellForce 2: Faith in Destiny,2481
65540,Gothic 1,412
65560,Painkiller Redemption,28
65600,Gothic 3: Forsaken Gods Enhanced Edition,1054
65610,ArcaniA: Fall of Setarrif,5
65730,Take On Helicopters,4
65740,Carrier Command: Gaea Mission,81
65780,ARMA: Gold Edition,22
65790,ARMA: Cold War Assault,39
65800,Dungeon Defenders,1205
65930,The Bureau: XCOM Declassified,168
65980,Sid Meier's Civilization®: Beyond Earth™,1552
67000,The Polynomial - Space of the music,5
67370,The Darkness II,214
70000,Dino D-Day,150
70100,Hacker Evolution,214
70110,Hacker Evolution: Untold,265
70120,Hacker Evolution Duality,46
70200,Governor of Poker 2,387
70300,VVVVVV,74
70400,Recettear: An Item Shop's Tale,1136
70420,Chantelise - A Tale of Two Sisters,53
70600,Worms Ultimate Mayhem,1285
70620,Worms Crazy Golf,89
70640,Worms,4
70650,Worms Blast,46
70660,Worms Pinball,13
70900,Star Ruler,5
71230,Crazy Taxi,22
71240,SEGA Bass Fishing,8
71340,Sonic Generations Collection,169
72000,Closure,100
72400,Clones,220
72850,The Elder Scrolls V: Skyrim,3885
73010,Cities in Motion,1
73060,Defenders of Ardania,55
73210,Sengoku,112
78000,Bejeweled® 3,158
80000,APOX,104
80200,Fate of the World,123
80310,Gemini Rue,97
80360,Blackwell Deception,263
91100,SkyDrift,1329
91200,Anomaly: Warzone Earth,181
91330,Iron Front: Digital War Edition,155
91600,Sanctum,166
91700,E.Y.E: Divine Cybermancy,533
91900,Post Apocalyptic Mayhem,193
92000,Hydrophobia: Prophecy,180
92100,DETOUR,205
92200,Gundemonium Recollection,78
92210,Hitogata Happa,5
92220,GundeadliGne,23
92300,A.R.E.S.: Extinction Agenda,191
92600,Xotic,54
92700,Shadow Harvest: Phantom Ops,58
92800,SpaceChem,143
93200,Revenge of the Titans,158
94200,Jamestown,100
94300,The Dream Machine: Chapter 1 & 2,68
94400,Nidhogg,184
94590,Puzzle Agent 2,82
95000,Super Splatters,254
95300,Capsized,153
95400,ibb & obb,284
95700,The Cat and the Coup,12
95900,Air Conflicts: Secret Wars,20
96000,The Tiny Bang Story,303
96100,Defy Gravity Extended,186
96200,Steel Storm: Burning Retribution,280
96800,Nexuiz,9
97000,Solar 2,402
97100,Section 8®: Prejudice™,53
97330,Magic: The Gathering - Duels of the Planeswalkers 2013,1903
98100,Trauma,7
98200,Frozen Synapse,227
98300,Toy Soldiers,148
98400,Hard Reset Extended Edition,275
98600,Demolition Inc.,155
98800,Dungeons of Dredmor,1302
99300,Renegade Ops,28
99700,NightSky,32
99900,Spiral Knights,64
99910,Puzzle Pirates,214
102200,Runespell: Overture,127
102500,Kingdoms of Amalur: Reckoning™,170
102600,Orcs Must Die!,195
102810,Gatling Gears,21
102840,Shank 2,256
104000,iBomber Defense,112
104200,BEEP,147
104900,ORION: Prelude,98
105000,A New Beginning - Final Cut,186
105100,Lume,8
105450,Age of Empires® III: Complete Collection,211
105600,Terraria,1840
105700,Tobe's Vertical Adventure,17
105800,PixelJunk™ Eden,74
107100,Bastion,234
107200,Space Pirates and Zombies,282
107300,Breath of Death VII,26
107310,Cthulhu Saves the World,388
107410,Arma 3,3621
107600,Waves,11
108200,Ticket to Ride,607
108210,Memoir '44 Online,7
108500,Vessel,25
108600,Project Zomboid,701
108710,Alan Wake,228
108800,Crysis 2 - Maximum Edition,208
109600,Neverwinter,543
110800,L.A. Noire,478
111100,Snuggle Truck,199
111400,Bunch of Heroes,29
111600,Serious Sam Double D XXL,527
112100,Avadon: The Black Fortress,13
113020,Monaco: What's Yours Is Mine,135
113200,The Binding of Isaac,567
113400,APB Reloaded,302
113420,Fallen Earth Free2Play,75
115100,Costume Quest,227
115110,Stacking,238
115120,Iron Brigade,31
115200,Cossacks II: Napoleonic Wars,17
115220,American Conquest: Fight Back,3
115320,Prototype 2,953
115800,Owlboy,534
